T26,Water supply and sanitation services,,,,,
348,Hungary,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",75.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
348,Hungary,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",69.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
348,Hungary,2015,"Safely managed drinking water sources, total (Proportion of population with access)",81.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
348,Hungary,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",82.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
348,Hungary,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",75.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
352,Iceland,2005,"Safely managed drinking water sources, total (Proportion of population with access)",92.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
352,Iceland,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",70.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
352,Iceland,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",68.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
352,Iceland,2010,"Safely managed drinking water sources, total (Proportion of population with access)",95.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
352,Iceland,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",70.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
352,Iceland,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",68.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
352,Iceland,2015,"Safely managed drinking water sources, total (Proportion of population with access)",98.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
352,Iceland,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",70.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
352,Iceland,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",68.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
356,India,2005,"Safely managed drinking water sources, rural (Proportion of population with access)",35.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
356,India,2005,"Safely managed sanitation facilities, rural (Proportion of population with access)",16.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
356,India,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",42.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
356,India,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",23.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
356,India,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",49.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
356,India,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",30.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
364,Iran (Islamic Republic of),2005,"Safely managed drinking water sources, urban (Proportion of population with access)",95.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
364,Iran (Islamic Republic of),2005,"Safely managed drinking water sources, rural (Proportion of population with access)",83.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
364,Iran (Islamic Republic of),2005,"Safely managed drinking water sources, total (Proportion of population with access)",91.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
364,Iran (Islamic Republic of),2010,"Safely managed drinking water sources, urban (Proportion of population with access)",95.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
364,Iran (Islamic Republic of),2010,"Safely managed drinking water sources, rural (Proportion of population with access)",83.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
364,Iran (Islamic Republic of),2010,"Safely managed drinking water sources, total (Proportion of population with access)",91.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
364,Iran (Islamic Republic of),2015,"Safely managed drinking water sources, urban (Proportion of population with access)",94.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
364,Iran (Islamic Republic of),2015,"Safely managed drinking water sources, rural (Proportion of population with access)",83.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
364,Iran (Islamic Republic of),2015,"Safely managed drinking water sources, total (Proportion of population with access)",91.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
368,Iraq,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",26.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
368,Iraq,2005,"Safely managed sanitation facilities, rural (Proportion of population with access)",17.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
368,Iraq,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",23.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
368,Iraq,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",31.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
368,Iraq,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",22.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
368,Iraq,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",28.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
368,Iraq,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",34.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
368,Iraq,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",25.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
368,Iraq,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",31.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
372,Ireland,2005,"Safely managed drinking water sources, total (Proportion of population with access)",94.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
372,Ireland,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",59.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
372,Ireland,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",47.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
372,Ireland,2010,"Safely managed drinking water sources, total (Proportion of population with access)",96.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
372,Ireland,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",74.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
372,Ireland,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",59.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
372,Ireland,2015,"Safely managed drinking water sources, total (Proportion of population with access)",98.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
372,Ireland,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",87.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
372,Ireland,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",70.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
833,Isle of Man,2015,"Safely managed drinking water sources, total (Proportion of population with access)",96.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
376,Israel,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",99.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
376,Israel,2005,"Safely managed drinking water sources, rural (Proportion of population with access)",99.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
376,Israel,2005,"Safely managed drinking water sources, total (Proportion of population with access)",99.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
376,Israel,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",83.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
376,Israel,2005,"Safely managed sanitation facilities, rural (Proportion of population with access)",82.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
376,Israel,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",83.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
376,Israel,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",99.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
376,Israel,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",99.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
376,Israel,2010,"Safely managed drinking water sources, total (Proportion of population with access)",99.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
376,Israel,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",88.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
376,Israel,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",86.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
376,Israel,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",88.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
376,Israel,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",99.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
376,Israel,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",99.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
376,Israel,2015,"Safely managed drinking water sources, total (Proportion of population with access)",99.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
376,Israel,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",93.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
376,Israel,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",91.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
376,Israel,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",93.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
380,Italy,2005,"Safely managed drinking water sources, total (Proportion of population with access)",89.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
380,Italy,2010,"Safely managed drinking water sources, total (Proportion of population with access)",92.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
380,Italy,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",96.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
380,Italy,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",93.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
380,Italy,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",95.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
380,Italy,2015,"Safely managed drinking water sources, total (Proportion of population with access)",93.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
380,Italy,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",96.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
380,Italy,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",93.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
380,Italy,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",95.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
392,Japan,2005,"Safely managed drinking water sources, total (Proportion of population with access)",96.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
392,Japan,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",99.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
392,Japan,2010,"Safely managed drinking water sources, total (Proportion of population with access)",97.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
392,Japan,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",99.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
392,Japan,2015,"Safely managed drinking water sources, total (Proportion of population with access)",97.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
392,Japan,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",99.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
400,Jordan,2005,"Safely managed drinking water sources, total (Proportion of population with access)",93.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
400,Jordan,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",83.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
400,Jordan,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",77.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
400,Jordan,2010,"Safely managed drinking water sources, total (Proportion of population with access)",93.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
400,Jordan,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",82.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
400,Jordan,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",77.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
400,Jordan,2015,"Safely managed drinking water sources, total (Proportion of population with access)",93.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
400,Jordan,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",82.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
400,Jordan,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",77.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
398,Kazakhstan,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",68.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
398,Kazakhstan,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",68.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
398,Kazakhstan,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",67.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
404,Kenya,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",59.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
404,Kenya,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",57.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
404,Kenya,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",54.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
414,Kuwait,2005,"Safely managed drinking water sources, total (Proportion of population with access)",100.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
414,Kuwait,2005,"Safely managed sanitation facilities, total (Proportion of population with access)",100.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
414,Kuwait,2010,"Safely managed drinking water sources, total (Proportion of population with access)",100.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
414,Kuwait,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",100.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
414,Kuwait,2015,"Safely managed drinking water sources, total (Proportion of population with access)",100.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
414,Kuwait,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",100.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
417,Kyrgyzstan,2005,"Safely managed drinking water sources, urban (Proportion of population with access)",82.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
417,Kyrgyzstan,2005,"Safely managed drinking water sources, rural (Proportion of population with access)",30.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
417,Kyrgyzstan,2005,"Safely managed drinking water sources, total (Proportion of population with access)",48.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
417,Kyrgyzstan,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",87.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
417,Kyrgyzstan,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",40.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
417,Kyrgyzstan,2010,"Safely managed drinking water sources, total (Proportion of population with access)",57.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
417,Kyrgyzstan,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",92.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
417,Kyrgyzstan,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",51.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
417,Kyrgyzstan,2015,"Safely managed drinking water sources, total (Proportion of population with access)",66.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
428,Latvia,2005,"Safely managed drinking water sources, total (Proportion of population with access)",81.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
428,Latvia,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",79.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2017."
